=== CUDA Batch Image Processor ===
Assignment: CUDA at Scale for the Enterprise

GPU 0: NVIDIA Tesla T4 (or similar lab GPU)
NPP Library Version 11.8.0
  CUDA Driver  Version: 11.8
  CUDA Runtime Version: 11.8

Found 120 image(s) in 'data'

[1/120]   Processing: synthetic_0000 (256x256)
             Saved  → output/synthetic_0000_processed.pgm
[2/120]   Processing: synthetic_0001 (256x256)
             Saved  → output/synthetic_0001_processed.pgm
[3/120]   Processing: synthetic_0002 (256x256)
             Saved  → output/synthetic_0002_processed.pgm
[4/120]   Processing: synthetic_0003 (256x256)
             Saved  → output/synthetic_0003_processed.pgm
[5/120]   Processing: synthetic_0004 (256x256)
             Saved  → output/synthetic_0004_processed.pgm
[6/120]   Processing: synthetic_0005 (256x256)
             Saved  → output/synthetic_0005_processed.pgm
[7/120]   Processing: synthetic_0006 (256x256)
             Saved  → output/synthetic_0006_processed.pgm
[8/120]   Processing: synthetic_0007 (256x256)
             Saved  → output/synthetic_0007_processed.pgm
[9/120]   Processing: synthetic_0008 (256x256)
             Saved  → output/synthetic_0008_processed.pgm
[10/120]   Processing: synthetic_0009 (256x256)
             Saved  → output/synthetic_0009_processed.pgm
[11/120]   Processing: synthetic_0010 (256x256)
             Saved  → output/synthetic_0010_processed.pgm
[12/120]   Processing: synthetic_0011 (256x256)
             Saved  → output/synthetic_0011_processed.pgm
[13/120]   Processing: synthetic_0012 (256x256)
             Saved  → output/synthetic_0012_processed.pgm
[14/120]   Processing: synthetic_0013 (256x256)
             Saved  → output/synthetic_0013_processed.pgm
[15/120]   Processing: synthetic_0014 (256x256)
             Saved  → output/synthetic_0014_processed.pgm
[16/120]   Processing: synthetic_0015 (256x256)
             Saved  → output/synthetic_0015_processed.pgm
[17/120]   Processing: synthetic_0016 (256x256)
             Saved  → output/synthetic_0016_processed.pgm
[18/120]   Processing: synthetic_0017 (256x256)
             Saved  → output/synthetic_0017_processed.pgm
[19/120]   Processing: synthetic_0018 (256x256)
             Saved  → output/synthetic_0018_processed.pgm
[20/120]   Processing: synthetic_0019 (256x256)
             Saved  → output/synthetic_0019_processed.pgm
[21/120]   Processing: synthetic_0020 (256x256)
             Saved  → output/synthetic_0020_processed.pgm
[22/120]   Processing: synthetic_0021 (256x256)
             Saved  → output/synthetic_0021_processed.pgm
[23/120]   Processing: synthetic_0022 (256x256)
             Saved  → output/synthetic_0022_processed.pgm
[24/120]   Processing: synthetic_0023 (256x256)
             Saved  → output/synthetic_0023_processed.pgm
[25/120]   Processing: synthetic_0024 (256x256)
             Saved  → output/synthetic_0024_processed.pgm
[26/120]   Processing: synthetic_0025 (256x256)
             Saved  → output/synthetic_0025_processed.pgm
[27/120]   Processing: synthetic_0026 (256x256)
             Saved  → output/synthetic_0026_processed.pgm
[28/120]   Processing: synthetic_0027 (256x256)
             Saved  → output/synthetic_0027_processed.pgm
[29/120]   Processing: synthetic_0028 (256x256)
             Saved  → output/synthetic_0028_processed.pgm
[30/120]   Processing: synthetic_0029 (256x256)
             Saved  → output/synthetic_0029_processed.pgm
[31/120]   Processing: synthetic_0030 (256x256)
             Saved  → output/synthetic_0030_processed.pgm
[32/120]   Processing: synthetic_0031 (256x256)
             Saved  → output/synthetic_0031_processed.pgm
[33/120]   Processing: synthetic_0032 (256x256)
             Saved  → output/synthetic_0032_processed.pgm
[34/120]   Processing: synthetic_0033 (256x256)
             Saved  → output/synthetic_0033_processed.pgm
[35/120]   Processing: synthetic_0034 (256x256)
             Saved  → output/synthetic_0034_processed.pgm
[36/120]   Processing: synthetic_0035 (256x256)
             Saved  → output/synthetic_0035_processed.pgm
[37/120]   Processing: synthetic_0036 (256x256)
             Saved  → output/synthetic_0036_processed.pgm
[38/120]   Processing: synthetic_0037 (256x256)
             Saved  → output/synthetic_0037_processed.pgm
[39/120]   Processing: synthetic_0038 (256x256)
             Saved  → output/synthetic_0038_processed.pgm
[40/120]   Processing: synthetic_0039 (256x256)
             Saved  → output/synthetic_0039_processed.pgm
[41/120]   Processing: synthetic_0040 (256x256)
             Saved  → output/synthetic_0040_processed.pgm
[42/120]   Processing: synthetic_0041 (256x256)
             Saved  → output/synthetic_0041_processed.pgm
[43/120]   Processing: synthetic_0042 (256x256)
             Saved  → output/synthetic_0042_processed.pgm
[44/120]   Processing: synthetic_0043 (256x256)
             Saved  → output/synthetic_0043_processed.pgm
[45/120]   Processing: synthetic_0044 (256x256)
             Saved  → output/synthetic_0044_processed.pgm
[46/120]   Processing: synthetic_0045 (256x256)
             Saved  → output/synthetic_0045_processed.pgm
[47/120]   Processing: synthetic_0046 (256x256)
             Saved  → output/synthetic_0046_processed.pgm
[48/120]   Processing: synthetic_0047 (256x256)
             Saved  → output/synthetic_0047_processed.pgm
[49/120]   Processing: synthetic_0048 (256x256)
             Saved  → output/synthetic_0048_processed.pgm
[50/120]   Processing: synthetic_0049 (256x256)
             Saved  → output/synthetic_0049_processed.pgm
[51/120]   Processing: synthetic_0050 (256x256)
             Saved  → output/synthetic_0050_processed.pgm
[52/120]   Processing: synthetic_0051 (256x256)
             Saved  → output/synthetic_0051_processed.pgm
[53/120]   Processing: synthetic_0052 (256x256)
             Saved  → output/synthetic_0052_processed.pgm
[54/120]   Processing: synthetic_0053 (256x256)
             Saved  → output/synthetic_0053_processed.pgm
[55/120]   Processing: synthetic_0054 (256x256)
             Saved  → output/synthetic_0054_processed.pgm
[56/120]   Processing: synthetic_0055 (256x256)
             Saved  → output/synthetic_0055_processed.pgm
[57/120]   Processing: synthetic_0056 (256x256)
             Saved  → output/synthetic_0056_processed.pgm
[58/120]   Processing: synthetic_0057 (256x256)
             Saved  → output/synthetic_0057_processed.pgm
[59/120]   Processing: synthetic_0058 (256x256)
             Saved  → output/synthetic_0058_processed.pgm
[60/120]   Processing: synthetic_0059 (256x256)
             Saved  → output/synthetic_0059_processed.pgm
[61/120]   Processing: synthetic_0060 (256x256)
             Saved  → output/synthetic_0060_processed.pgm
[62/120]   Processing: synthetic_0061 (256x256)
             Saved  → output/synthetic_0061_processed.pgm
[63/120]   Processing: synthetic_0062 (256x256)
             Saved  → output/synthetic_0062_processed.pgm
[64/120]   Processing: synthetic_0063 (256x256)
             Saved  → output/synthetic_0063_processed.pgm
[65/120]   Processing: synthetic_0064 (256x256)
             Saved  → output/synthetic_0064_processed.pgm
[66/120]   Processing: synthetic_0065 (256x256)
             Saved  → output/synthetic_0065_processed.pgm
[67/120]   Processing: synthetic_0066 (256x256)
             Saved  → output/synthetic_0066_processed.pgm
[68/120]   Processing: synthetic_0067 (256x256)
             Saved  → output/synthetic_0067_processed.pgm
[69/120]   Processing: synthetic_0068 (256x256)
             Saved  → output/synthetic_0068_processed.pgm
[70/120]   Processing: synthetic_0069 (256x256)
             Saved  → output/synthetic_0069_processed.pgm
[71/120]   Processing: synthetic_0070 (256x256)
             Saved  → output/synthetic_0070_processed.pgm
[72/120]   Processing: synthetic_0071 (256x256)
             Saved  → output/synthetic_0071_processed.pgm
[73/120]   Processing: synthetic_0072 (256x256)
             Saved  → output/synthetic_0072_processed.pgm
[74/120]   Processing: synthetic_0073 (256x256)
             Saved  → output/synthetic_0073_processed.pgm
[75/120]   Processing: synthetic_0074 (256x256)
             Saved  → output/synthetic_0074_processed.pgm
[76/120]   Processing: synthetic_0075 (256x256)
             Saved  → output/synthetic_0075_processed.pgm
[77/120]   Processing: synthetic_0076 (256x256)
             Saved  → output/synthetic_0076_processed.pgm
[78/120]   Processing: synthetic_0077 (256x256)
             Saved  → output/synthetic_0077_processed.pgm
[79/120]   Processing: synthetic_0078 (256x256)
             Saved  → output/synthetic_0078_processed.pgm
[80/120]   Processing: synthetic_0079 (256x256)
             Saved  → output/synthetic_0079_processed.pgm
[81/120]   Processing: synthetic_0080 (256x256)
             Saved  → output/synthetic_0080_processed.pgm
[82/120]   Processing: synthetic_0081 (256x256)
             Saved  → output/synthetic_0081_processed.pgm
[83/120]   Processing: synthetic_0082 (256x256)
             Saved  → output/synthetic_0082_processed.pgm
[84/120]   Processing: synthetic_0083 (256x256)
             Saved  → output/synthetic_0083_processed.pgm
[85/120]   Processing: synthetic_0084 (256x256)
             Saved  → output/synthetic_0084_processed.pgm
[86/120]   Processing: synthetic_0085 (256x256)
             Saved  → output/synthetic_0085_processed.pgm
[87/120]   Processing: synthetic_0086 (256x256)
             Saved  → output/synthetic_0086_processed.pgm
[88/120]   Processing: synthetic_0087 (256x256)
             Saved  → output/synthetic_0087_processed.pgm
[89/120]   Processing: synthetic_0088 (256x256)
             Saved  → output/synthetic_0088_processed.pgm
[90/120]   Processing: synthetic_0089 (256x256)
             Saved  → output/synthetic_0089_processed.pgm
[91/120]   Processing: synthetic_0090 (256x256)
             Saved  → output/synthetic_0090_processed.pgm
[92/120]   Processing: synthetic_0091 (256x256)
             Saved  → output/synthetic_0091_processed.pgm
